02 - 23.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;29;0.001;1;25;0.025;25;24;0.78;780;
7;29;0.001;1;25;0.026;26;24;0.82;820;
13;29;0.001;1;25;0.029;29;24;0.833;833;
19;29;0.001;1;25;0.028;28;24;0.754;754;
25;29;0.001;1;25;0.022;22;23;0.786;786;
2;29;0.001;1;25;0.029;29;24;0.73;730;
8;29;0.001;1;25;0.026;26;23;0.736;736;
14;29;0.003;3;25;0.023;23;24;0.757;757;
20;29;0.001;1;25;0.024;24;24;0.814;814;
26;29;0.001;1;25;0.021;21;24;0.718;718;
3;29;0.001;1;25;0.025;25;24;0.79;790;
9;29;0.001;1;25;0.034;34;24;0.746;746;
15;29;0.001;1;25;0.035;35;23;0.774;774;
21;29;0.001;1;25;0.026;26;23;0.812;812;
27;29;0;0;25;0.021;21;23;0.736;736;
4;29;0.001;1;25;0.027;27;23;0.743;743;
10;29;0.001;1;25;0.024;24;24;0.771;771;
16;29;0.001;1;25;0.025;25;24;0.784;784;
22;29;0.001;1;25;0.024;24;24;0.844;844;
28;29;0.001;1;25;0.022;22;24;0.755;755;
5;29;0.005;5;25;0.027;27;24;0.78;780;
11;29;0.001;1;25;0.024;24;24;0.785;785;
17;29;0.001;1;25;0.025;25;24;0.778;778;
23;29;0.001;1;25;0.023;23;24;0.791;791;
29;29;0.001;1;25;0.025;25;23;0.782;782;
6;29;0.001;1;25;0.03;30;24;0.752;752;
12;29;0.003;3;25;0.027;27;23;0.751;751;
18;29;0.001;1;25;0.023;23;23;0.819;819;
24;29;0.001;1;25;0.023;23;24;0.807;807;
30;29;0.001;1;25;0.025;25;24;0.737;737;
