07 - 59797.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;83897;0.369;369;83321;11.903;11903;82238;713.503;713503;81943;584.193;584193
7;83897;0.352;352;82977;12.135;12135;82632;726.478;726478;82370;583.962;583962
13;83897;0.361;361;82977;11.974;11974;82054;710.718;710718;82528;606.876;606876
19;83897;0.348;348;82977;12.012;12012;82944;707.604;707604;82054;588.234;588234
25;83897;0.762;762;82976;26.194;26194;82054;734.25;734250;82433;560.299;560299
2;83897;0.343;343;83321;12.215;12215;82587;713.383;713383;82396;582.753;582753
8;83897;0.342;342;82977;12.252;12252;82923;727.235;727235;82046;582.91;582910
14;83897;0.349;349;82977;22.096;22096;82587;690.176;690176;82213;595.614;595614
20;83897;0.338;338;82977;12.301;12301;82923;720.546;720546;82046;599.516;599516
26;83897;0.792;792;82976;15.591;15591;82587;721.288;721288;81943;562.833;562833
3;83897;0.373;373;83315;12.452;12452;82944;720.53;720530;82529;585.693;585693
9;83897;0.319;319;82977;12.052;12052;82760;719.13;719130;81943;585.644;585644
15;83897;0.324;324;82977;19.533;19533;82454;712.105;712105;81943;598.556;598556
21;83897;0.32;320;82977;11.679;11679;82760;710.334;710334;82046;599.846;599846
27;83897;0.736;736;82976;16.667;16667;82944;728.233;728233;82415;560.915;560915
4;83897;0.357;357;82977;11.99;11990;82396;711.348;711348;82415;585.037;585037
10;83897;0.358;358;82977;12.186;12186;82161;726.831;726831;82161;585.245;585245
16;83897;0.378;378;82977;16.979;16979;82396;703.657;703657;82562;598.007;598007
22;83897;0.378;378;82977;12.029;12029;82054;706.014;706014;82396;591.774;591774
28;83897;0.811;811;82976;23.833;23833;82396;734.754;734754;82176;559.694;559694
5;83897;0.354;354;82977;12.314;12314;82521;712.249;712249;82325;584.418;584418
11;83897;0.377;377;82977;12.286;12286;82526;725.039;725039;82238;583.218;583218
17;83897;0.284;284;82977;11.919;11919;82521;701.003;701003;81943;603.804;603804
23;83897;0.279;279;82976;12.387;12387;82805;709.344;709344;82135;587.851;587851
29;83897;0.36;360;82976;23.756;23756;82521;733.024;733024;82476;562.122;562122
6;83897;0.323;323;82977;11.875;11875;82800;713.303;713303;82046;584.331;584331
12;83897;0.343;343;82977;11.987;11987;82621;727.448;727448;81943;582.262;582262
18;83897;0.345;345;82977;12.424;12424;82800;701.288;701288;82046;605.908;605908
24;83897;0.356;356;82976;12.187;12187;82621;709.317;709317;82325;592.722;592722
30;83897;0.7;700;82976;22.972;22972;82800;728.857;728857;82054;562.839;562839
